Entity,Code,Year,Gas Consumption - TWh,,,
Austria,AUT,1965,17.52864694,,,
Austria,AUT,1966,18.82103417,,,
Austria,AUT,1967,18.03168361,,,
Austria,AUT,1968,19.22896972,,,
Austria,AUT,1969,23.32915694,,,
Austria,AUT,1970,28.29800222,,,
Austria,AUT,1971,32.50664667,,,
Austria,AUT,1972,35.1297525,,,
Austria,AUT,1973,38.61119917,,,
Austria,AUT,1974,41.85197,,,
Austria,AUT,1975,41.80161889,,,
Austria,AUT,1976,47.6101125,,,
Austria,AUT,1977,48.52033778,,,
Austria,AUT,1978,50.46823861,,,
Austria,AUT,1979,50.04036639,,,
Austria,AUT,1980,48.07397639,,,
Austria,AUT,1981,45.82409778,,,
Austria,AUT,1982,44.355265,,,
Austria,AUT,1983,45.25705944,,,
Austria,AUT,1984,50.38988889,,,
Austria,AUT,1985,53.99160444,,,
Austria,AUT,1986,52.421265,,,
Austria,AUT,1987,54.68577833,,,
Austria,AUT,1988,52.38502917,,,
Austria,AUT,1989,56.25981972,,,
Austria,AUT,1990,61.93490333,,,
Austria,AUT,1991,65.66419139,,,
Austria,AUT,1992,64.48223417,,,
Austria,AUT,1993,67.81245139,,,
Austria,AUT,1994,69.75149417,,,
Austria,AUT,1995,76.15716028,,,
Austria,AUT,1996,81.06088,,,
Austria,AUT,1997,78.12571611,,,
Austria,AUT,1998,80.20729139,,,
Austria,AUT,1999,81.92762833,,,
Austria,AUT,2000,78.20515417,,,
Austria,AUT,2001,82.88196083,,1965,0
Austria,AUT,2002,81.48536944,,1966,0
Austria,AUT,2003,89.62971833,,1967,0
Austria,AUT,2004,90.4923375,,1968,0
Austria,AUT,2005,95.27706444,,1969,0
Austria,AUT,2006,89.53200778,,1970,0
Austria,AUT,2007,84.70895417,,1971,0
Austria,AUT,2008,90.68554861,,1972,0
Austria,AUT,2009,88.31913861,,1973,0
Austria,AUT,2010,96.12812111,,1974,0
Austria,AUT,2011,90.41806694,,1975,0
Austria,AUT,2012,86.24141583,,1976,0
Austria,AUT,2013,82.00461139,,1977,0
Austria,AUT,2014,75.10975583,,1978,0
Austria,AUT,2015,79.68095,,1979,0
Austria,AUT,2016,83.42190278,,1980,0
Austria,AUT,2017,90.69853861,,1981,0
Austria,AUT,2018,86.86918917,,1982,0
Austria,AUT,2019,89.00441028,,1983,0
Austria,AUT,2020,85.27519028,,1984,0
Belarus,BLR,1985,86.53183861,1,1985,86.53183861
Belarus,BLR,1986,88.18871194,,1986,88.18871194
Belarus,BLR,1987,99.54344139,,1987,99.54344139
Belarus,BLR,1988,115.2603344,,1988,115.2603344
Belarus,BLR,1989,121.3823403,,1989,121.3823403
Belarus,BLR,1990,129.3250344,,1990,129.3250344
Belarus,BLR,1991,135.3487511,,1991,135.3487511
Belarus,BLR,1992,157.1782892,,1992,157.1782892
Belarus,BLR,1993,145.8329203,,1993,145.8329203
Belarus,BLR,1994,127.4856244,,1994,127.4856244
Belarus,BLR,1995,115.2603344,,1995,115.2603344
Belarus,BLR,1996,121.3823403,,1996,121.3823403
Belarus,BLR,1997,138.8403539,,1997,138.8403539
Belarus,BLR,1998,140.5908358,,1998,140.5908358
Belarus,BLR,1999,143.2118781,,1999,143.2118781
Belarus,BLR,2000,151.9362044,,2000,151.9362044
Belarus,BLR,2001,151.0656442,,2001,151.0656442
Belarus,BLR,2002,155.4278072,,2002,155.4278072
Belarus,BLR,2003,152.806765,,2003,152.806765
Belarus,BLR,2004,185.3436878,,2004,185.3436878
Belarus,BLR,2005,190.0266181,,2005,190.0266181
Belarus,BLR,2006,193.9477681,,2006,193.9477681
Belarus,BLR,2007,194.7153589,,2007,194.7153589
Belarus,BLR,2008,199.4145133,,2008,199.4145133
Belarus,BLR,2009,169.3198131,,2009,169.3198131
Belarus,BLR,2010,207.2836283,,2010,207.2836283
Belarus,BLR,2011,192.2618486,,2011,192.2618486
Belarus,BLR,2012,194.1009833,,2012,194.1009833
Belarus,BLR,2013,192.7027728,,2013,192.7027728
Belarus,BLR,2014,191.2143953,,2014,191.2143953
Belarus,BLR,2015,178.9891053,,2015,178.9891053
Belarus,BLR,2016,177.8751622,,2016,177.8751622
Belarus,BLR,2017,182.0875517,,2017,182.0875517
Belarus,BLR,2018,193.1427336,,2018,193.1427336
Belarus,BLR,2019,191.644995,,2019,191.644995
Belarus,BLR,2020,178.6505417,,2020,178.6505417
Belgium,BEL,1965,0.735,1,,
Belgium,BEL,1966,1.3265,,,
Belgium,BEL,1967,5.0555,,,
Belgium,BEL,1968,12.299,,,
Belgium,BEL,1969,25.335,,,
Belgium,BEL,1970,39.75175,,,
Belgium,BEL,1971,54.81475,,,
Belgium,BEL,1972,69.1135,,,
Belgium,BEL,1973,83.07225,,,
Belgium,BEL,1974,97.35675,,,
Belgium,BEL,1975,96.19475,,,
Belgium,BEL,1976,101.6115,,,
Belgium,BEL,1977,99.9695,,,
Belgium,BEL,1978,99.1245,,,
Belgium,BEL,1979,108.30525,,,
Belgium,BEL,1980,103.6315,,,
Belgium,BEL,1981,95.5805,,,
Belgium,BEL,1982,79.68625,,,
Belgium,BEL,1983,82.80875,,,
Belgium,BEL,1984,85.4505,,,
Belgium,BEL,1985,85.864,,,
Belgium,BEL,1986,77.095,,,
Belgium,BEL,1987,85.0165,,,
Belgium,BEL,1988,83.906,,,
Belgium,BEL,1989,93.24425,,,
Belgium,BEL,1990,95.6985,,,
Belgium,BEL,1991,102.078,,,
Belgium,BEL,1992,105.20125,,,
Belgium,BEL,1993,110.093,,,
Belgium,BEL,1994,112.576,,,
Belgium,BEL,1995,124.5255,,,
